sggdeu0419,UZH-test,0,TGT,sgg,deu,0,srf.0#219-230,False,1662927212.76,1662927222.671
sggdeu0401,DFKI-MLT,3,TGT,sgg,deu,0,srf.0#51-62,False,1663355788.532,1663355791.755
sggdeu0401,DFKI-MLT,2,TGT,sgg,deu,0,srf.0#51-62,False,1663355785.186,1663355788.506
sggdeu0401,DFKI-MLT,1,TGT,sgg,deu,0,srf.0#51-62,False,1663355781.903,1663355785.159
sggdeu0401,DFKI-MLT,0,TGT,sgg,deu,0,srf.0#51-62,False,1663355774.696,1663355781.87
sggdeu0401,SLATTIC,170,TGT,sgg,deu,0,srf.0#159-170,True,1663355661.885,1663355772.871
sggdeu0401,SLATTIC,11,TGT,sgg,deu,0,srf.0#159-170,False,1663355751.668,1663355764.503
sggdeu0401,SLATTIC,10,TGT,sgg,deu,0,srf.0#159-170,False,1663355739.81,1663355751.635
sggdeu0401,SLATTIC,9,TGT,sgg,deu,0,srf.0#159-170,False,1663355735.082,1663355739.792
sggdeu0401,SLATTIC,8,TGT,sgg,deu,0,srf.0#159-170,False,1663355728.288,1663355735.046
sggdeu0401,SLATTIC,7,TGT,sgg,deu,0,srf.0#159-170,False,1663355720.526,1663355728.243
sggdeu0401,SLATTIC,6,TGT,sgg,deu,0,srf.0#159-170,False,1663355714.771,1663355720.502
sggdeu0401,SLATTIC,5,TGT,sgg,deu,0,srf.0#159-170,False,1663355709.155,1663355714.741
sggdeu0401,SLATTIC,4,TGT,sgg,deu,0,srf.0#159-170,False,1663355695.113,1663355709.112
sggdeu0401,SLATTIC,3,TGT,sgg,deu,0,srf.0#159-170,False,1663355682.145,1663355695.081
sggdeu0401,SLATTIC,2,TGT,sgg,deu,0,srf.0#159-170,False,1663355675.403,1663355682.112
sggdeu0401,SLATTIC,1,TGT,sgg,deu,0,srf.0#159-170,False,1663355669.859,1663355675.372
sggdeu0401,SLATTIC,0,TGT,sgg,deu,0,srf.0#159-170,False,1663355661.976,1663355669.836
sggdeu0401,MSMunich,25,TGT,sgg,deu,0,focusnews.4#14-25,True,1663355531.055,1663355660.215
sggdeu0401,MSMunich,11,TGT,sgg,deu,0,focusnews.4#14-25,False,1663355647.451,1663355653.498
sggdeu0401,MSMunich,10,TGT,sgg,deu,0,focusnews.4#14-25,False,1663355640.659,1663355647.405
sggdeu0401,MSMunich,9,TGT,sgg,deu,0,focusnews.4#14-25,False,1663355633.115,1663355640.633
sggdeu0401,MSMunich,8,TGT,sgg,deu,0,focusnews.4#14-25,False,1663355626.253,1663355633.095
sggdeu0401,MSMunich,7,TGT,sgg,deu,0,focusnews.4#14-25,False,1663355610.849,1663355626.214
