# submission, BLEUall, BLEUsrf, BLEUfn, chrFall, chrFsrf, chrFfn, BLEURTall, BLEURTsrf, BLEURTfn
DFKI-Berlin_slt.1, 0.08 ± 0.01, 0.10 ± 0.04, 0.11 ± 0.02, 18.24 ± 0.36, 17.87 ± 0.49, 18.66 ± 0.57
DFKI-MLT.1, 0.07 ± 0.05, 0.05 ± 0.02, 0.12 ± 0.10, 6.63 ± 0.44, 6.41 ± 0.60, 6.86 ± 0.63
DFKI-MLT.2, 0.11 ± 0.06, 0.08 ± 0.03, 0.17 ± 0.13, 6.78 ± 0.48, 7.05 ± 0.73, 6.50 ± 0.68
DFKI-MLT.3, 0.08 ± 0.04, 0.06 ± 0.02, 0.13 ± 0.10, 6.53 ± 0.51, 6.79 ± 0.79, 6.25 ± 0.71
DFKI-MLT.4, 0.02 ± 0.01, 0.02 ± 0.01, 0.04 ± 0.02, 3.60 ± 0.22, 3.44 ± 0.28, 3.80 ± 0.35
DFKI-MLT.5, 0.04 ± 0.02, 0.03 ± 0.00, 0.08 ± 0.04, 5.42 ± 0.26, 5.15 ± 0.34, 5.64 ± 0.42
MSMunich.1, 0.44 ± 0.21, 0.34 ± 0.18, 0.63 ± 0.35, 17.08 ± 0.54, 16.29 ± 0.71, 17.85 ± 0.88
MSMunich.2, 0.56 ± 0.30, 0.28 ± 0.13, 0.84 ± 0.51, 17.43 ± 0.48, 16.97 ± 0.55, 17.88 ± 0.77
SLT_UPC.1, 0.34 ± 0.22, 0.29 ± 0.14, 0.43 ± 0.33, 15.59 ± 0.59, 15.43 ± 0.78, 15.78 ± 0.81
SLT_UPC.2, 0.35 ± 0.21, 0.29 ± 0.14, 0.43 ± 0.30, 16.22 ± 0.55, 15.43 ± 0.78, 17.02 ± 0.90
SLT_UPC.3, 0.41 ± 0.33, 0.24 ± 0.10, 0.54 ± 0.47, 15.55 ± 0.57, 15.09 ± 0.78, 16.03 ± 0.95
SLT_UPC.4, 0.28 ± 0.09, 0.26 ± 0.11, 0.37 ± 0.16, 12.16 ± 0.44, 12.27 ± 0.62, 12.06 ± 0.63
SLT_UPC.5, 0.24 ± 0.10, 0.32 ± 0.14, 0.25 ± 0.12, 11.98 ± 0.41, 12.10 ± 0.60, 11.87 ± 0.55
SLT_UPC.6, 0.28 ± 0.09, 0.26 ± 0.11, 0.37 ± 0.16, 12.16 ± 0.44, 12.27 ± 0.62, 12.06 ± 0.63
SLT_UPC.7, 0.50 ± 0.26, 0.37 ± 0.13, 0.61 ± 0.38, 12.31 ± 0.50, 11.94 ± 0.69, 12.71 ± 0.79
Zifan-test.1, 0.12 ± 0.06, 0.09 ± 0.03, 0.19 ± 0.11, 5.47 ± 0.49, 5.18 ± 0.54, 5.78 ± 0.78
njupt-mtt.1, 0.09 ± 0.01, 0.13 ± 0.03, 0.13 ± 0.03, 14.58 ± 0.51, 14.80 ± 0.68, 14.36 ± 0.77
njupt-mtt.2, 0.10 ± 0.01, 0.13 ± 0.03, 0.14 ± 0.03, 14.08 ± 0.49, 14.16 ± 0.68, 14.01 ± 0.72
slattic.1, 0.25 ± 0.12, 0.30 ± 0.18, 0.24 ± 0.10, 19.50 ± 0.44, 19.22 ± 0.53, 19.79 ± 0.71
slattic.2, 0.20 ± 0.14, 0.32 ± 0.23, 0.10 ± 0.02, 17.93 ± 0.52, 17.38 ± 0.66, 18.48 ± 0.77
slattic.3, 0.14 ± 0.09, 0.21 ± 0.16, 0.09 ± 0.06, 17.43 ± 0.46, 16.99 ± 0.56, 17.83 ± 0.74
slattic.4, 0.19 ± 0.15, 0.28 ± 0.23, 0.11 ± 0.02, 19.88 ± 0.46, 19.93 ± 0.59, 19.80 ± 0.77
slattic.5, 0.18 ± 0.06, 0.21 ± 0.09, 0.19 ± 0.10, 17.88 ± 0.49, 17.42 ± 0.57, 18.35 ± 0.82
slattic.6, 0.07 ± 0.03, 0.15 ± 0.07, 0.04 ± 0.01, 14.96 ± 0.41, 14.84 ± 0.51, 15.04 ± 0.64
